service_id,date,exception_type
20SE07-MABlock-Saturday-22,20201003,1
20SE07-MABlock-Saturday-22,20201010,1
20SE07-MABlock-Saturday-22,20201017,1
20SE07-MABlock-Saturday-22,20201024,1
20SE07-MABlock-Sunday-23,20200913,1
20SE07-MABlock-Sunday-23,20200920,1
20SE07-MABlock-Sunday-23,20200927,1
20SE07-MABlock-Sunday-23,20201004,1
20SE07-MABlock-Sunday-23,20201011,1
20SE07-MABlock-Sunday-23,20201018,1
20SE07-MABlock-Sunday-23,20201025,1
20SE07-MABlock-Holiday1-24,20200907,1
20SE07-MABlock-Holiday1-24,20201012,1
